-,,,,,Pago?,,,,,,,,,
AP,-,1.475,-,Pix,Não,Renda líquida,,,Cartão,Valor,Pago?,,,
Emprestimo mãe,2/6,698,-,Pix,Sim,Salário líquido,5.826,Recebido,BRB,1307,Sim,,,
Morena - Ração,-,120,-,Pix,Não,Ticket,900,Não Recebido,C6,2.919,Sim,,,
MEI ,-,75,-,Pix,Não,AP,130,Não Recebido,PicPay,1.608,Não,,,
IPVA,2/6,244,,Pix,Não,BETO,800,Não Recebido,Nubank,2.500,Sim,,,
Consórcio,7/9,1.060,-,Pix,Sim,,,,Bradesco,1652,Não,,,
Seguro,-,179,Assinatura,Cartão,Não,,,,,,,,,
Academia,-,120,Assinatura,Cartão,,,,,Total cartões,R$ 9.986,,,,
Claro,-,65,Assinatura,Cartão,,Total,R$ 7.656,,,,,,,
Spotify,-,38,Assinatura,Cartão,,,,,,,,,,
Hostinger,-,30,Assinatura,Cartão,,,,,,,,,,
Crunchyroll,-,15,Assinatura,Cartão,,RESUMO,,,,,,,,
Amazon Prime,-,13,Assinatura,Cartão,,Entra,R$ 12.636,,,,,,,
KingHost,-,10,Assinatura,Cartão,,Sai,R$ 13.888,,Me devem,,,,,
Google One,-,7,Assinatura,Cartão,,,-R$ 1.252,,Nome,Valor,Parcela,Descrição,Cartão/Pix,R/NR
Games Pass,-,60,Assinatura,Cartão,Não,,,,Vó,67,-,Internet roça,C6,Recebido
Processador,7/10,238,Parcelado,Cartão,,,,,Vó,106,10/10,Máquina ,C6,Recebido
RAM,7/10,55,Parcelado,Cartão,,,,,Vó,129,7/10,Microondas,C6,Recebido
Monitor,7/10,110,Parcelado,Cartão,,,,,Vó,1500,3/10,Materiais Sala,C6,Recebido
Fonte,7/10,53,Parcelado,Cartão,,,,,Vó,100,,Gasolina roça,,Recebido
Pós,8/10,120,Parcelado,Cartão,,,,,Vó,67,2/4,Shopee,,Recebido
iPad,8/10,81,Parcelado,Cartão,,,,,Vó,59,1/10,Tinta,,Recebido
MercadoLivre DropTech,9/10,211,Parcelado,Cartão,,,,,Vó,263,2/3,Castelo Forte,,Recebido
Stanley,3/12,19,Parcelado,Cartão,,,,,Vó,126,1/10,Mais revestimento,,Recebido
Violino,3/8,57,Parcelado,Cartão,,,,,Vó,53,1/10,Tela,,Recebido
máquina bodygroom,3/4,51,Parcelado,Cartão,,,,,Mãe,179,-,Seguro,BRB,Recebido
castelo forte ,2/10,249,Parcelado,Cartão,,,,,Mãe,67,-,Internet roça,C6,Recebido
castelo forte ,2/10,52,Parcelado,Cartão,,,,,Mãe,654,10/11,Materiais Roça,PICPAY,Não Recebido
Emprestado vó,,230,,,,,,,Mãe,106,10/10,Máquina ,C6,Recebido
,,,,,,,,,Bruna,85,3/3,Tênis presente,,Não Recebido
,,,,,,,passar para mãe,,Bruna,462,5/7,Album,C6,Não Recebido
,,,,,,,346,,Bruna,266,2/6,iPad,,Não Recebido
,,,,,,,,,Bruna,392,2/3,Peças carro,,Não Recebido
,,,,,,,,,Teresa,250,3/3,Porta,C6,Recebido
,Fixo,Assinaturas,Parcelados,,,,,,Bruna,50,1/4,Ventilador,,Não Recebido
,3.672,537,1296,,,,,,,,,,,
,4.968,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,falta pagar,,falta receber,,,,,,
,,,,,,AP,1.475,Bruna,1457,,,,,
,,,,,,Morena - Ração,120,Ticket,900,,,,,
,,,,,,MEI ,75,AP,130,,,,,
,,,,,,IPVA,244,BETO,800,,,,,
,,,,,,PicPay,1.608,Mãe,654,,,,,
,,,,,,Bradesco,1652,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,5.174,,3941,,,,,
,,,,,,,,,,,,,,
,,,,,,,,-1.233,,,,,,